File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmAnalogyScores.cs,213,135,101,19,47,0,31,100,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmAnalogyScores.Designer.cs,59,36,29,1,6,0,17,56,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmCoderack.cs,162,92,66,9,38,0,32,135,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmCoderack.Designer.cs,61,38,31,1,6,0,17,56,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmGroupScores.cs,219,164,124,24,43,0,12,58,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmGroupScores.Designer.cs,60,37,30,1,6,0,17,56,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmMain.cs,63,46,35,3,17,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmMain.Designer.cs,61,38,31,1,6,0,17,56,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmWorkspace.cs,1239,819,603,137,249,10,171,880,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\frmWorkspace.Designer.cs,377,280,271,1,8,0,89,80,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Group.cs,553,358,225,90,115,4,80,490,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupElement.cs,256,163,117,33,50,5,43,403,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\IntMap.cs,116,89,66,18,23,0,4,15,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Measure.cs,209,154,101,35,37,6,18,195,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MeasureLink.cs,63,50,34,14,10,0,3,9,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MelodyContour.cs,195,150,98,36,33,0,12,48,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MidiInfo.cs,125,86,55,27,20,2,19,102,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Note.cs,140,112,78,15,28,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Program.cs,804,537,398,99,138,11,129,949,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Rhythm.cs,460,323,227,60,86,5,51,339,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Sequence.cs,37,27,20,0,10,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Settings.cs,29,10,5,0,6,0,13,92,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Settings2.Designer.cs,123,101,46,9,14,1,8,30,0,1
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Slipnet.cs,323,190,112,30,66,0,67,352,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\StructureCollection.cs,184,119,83,32,40,3,25,167,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\TemporaryGroup.cs,39,31,21,3,8,4,0,24,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Utilities.cs,271,181,112,36,53,5,37,208,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Workspace.cs,1889,1245,861,373,387,18,257,1483,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\AnalogyFinderCodeletMetaLinks.cs,74,40,25,6,19,1,15,74,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasonNumberComponentsCodelet.cs,60,31,18,4,15,0,14,80,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\AddNonRhythmRelationshipsToAnalogyCodelet.cs,77,44,27,8,17,0,16,71,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\AddRelationshipsToAnalogyCodelet.cs,101,56,36,11,22,0,23,142,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\CreateAnalogyCodelet.cs,212,131,90,32,44,0,37,304,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\DestroyOldAnalogyCodelet.cs,89,51,30,13,20,0,18,78,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\FormLabelFromAnalogyCodelet.cs,229,52,33,9,21,0,156,656,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\RecussitateAnalogyCodelet.cs,250,156,116,35,53,0,41,225,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\StoreStrongAnalogy.cs,61,29,18,3,13,0,19,77,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\SuggestParallelAnalogyCodelet.cs,291,177,120,48,51,4,63,454,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy\SuggestSameLengthAnalogyCodelet.cs,80,41,28,5,17,0,22,100,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\GenerateExpectedAnalogyCodelet.cs,84,45,31,6,19,1,20,121,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\GenerateExpectedAnalogyCopyCodelet.cs,86,48,33,7,19,0,19,96,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\GenerateExpectedGroupCopyCodelet.cs,198,122,83,30,35,1,41,338,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\StrengthenExpectationCodelet.cs,104,61,37,15,25,0,18,94,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\SuggestAnalogyFromExpectationCodelet.cs,70,34,22,4,16,0,20,93,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\SuggestGroupFromExpectationCodelet.cs,130,43,27,8,26,0,61,231,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations\SuggestLinkFromExpectationCodelet.cs,64,28,18,2,16,0,20,88,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Form\FormLabelAssignerCodelet.cs,197,112,76,23,43,1,42,322,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\ExtendGroupRightCodelet.cs,69,39,24,8,13,0,17,86,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\FindSequenceCodelet.cs,107,57,36,13,26,2,24,151,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\GroupBreakerCodelet.cs,79,40,26,6,20,0,19,108,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\MakeTranspositionGroupCodelet.cs,90,42,26,8,28,0,20,90,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\MeasureSamenessGrouperCodelet.cs,86,40,26,5,22,0,24,117,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\MetaGrouperCodelet.cs,155,71,46,13,36,2,48,214,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\PickAlphabetForGroupCodlet.cs,132,77,52,13,27,1,28,150,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\ProximityGrouperCodelet.cs,127,56,37,9,35,1,36,174,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping\SamenessGrouperCodelet.cs,85,44,24,6,21,0,20,99,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupPenaltyHierarchyCrossingCodelet.cs,85,45,27,9,21,0,19,115,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupPenaltySubcomponentLengthCodelet.cs,86,44,29,6,20,0,22,129,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonAnalogyComponentCodelet.cs,103,55,34,9,20,0,28,142,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonComponentsSimilarCodelet.cs,188,64,39,18,33,1,91,351,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonEndPitchCodelet.cs,163,100,66,21,32,6,31,191,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonHierarchyEndCodelet.cs,87,42,24,9,22,0,23,134,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonMusicalForcesClosureCodelet.cs,81,46,30,7,19,0,16,72,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonNumberComponentsCodelet.cs,64,32,19,4,17,0,15,84,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonRhythmGapCodelet.cs,136,82,60,12,27,1,27,180,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons\GroupReasonSlowingEndCodelet.cs,126,79,56,15,25,0,22,122,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Hierarchy\MeasureHierarchyCodelet.cs,357,237,157,66,61,3,59,364,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\ExamineLinkedPairsCodelet.cs,69,27,16,3,16,0,26,107,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\LookForAntecedentConsequentRelationshipCodelet.cs,114,68,46,15,26,0,20,91,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\LookForContourRelationshipCodelet.cs,103,48,32,7,26,0,29,119,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\LookForMetricPositionRelationshipCodelet.cs,119,69,49,11,30,1,20,117,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\LookForRelationshipCodelet.cs,90,51,34,7,23,0,16,71,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\LookForStartingRelationshipCodelet.cs,88,51,34,7,21,0,16,71,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\LookForTranspositionRelationshipCodelet.cs,102,59,39,11,25,0,18,101,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\MeasureLinkBreakerCodelet.cs,96,54,35,11,25,0,17,98,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\MeasureLinkerCodelet.cs,102,51,35,6,25,0,26,112,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\OldMeasureLinkBreakerCodelet.cs,123,65,43,13,28,0,30,159,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links\RelationshipBreakerCodelet.cs,68,35,22,5,17,0,16,69,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Expectations\Expectations.cs,250,168,119,43,59,2,23,103,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Expectations\ExpectedAnalogy.cs,32,25,17,2,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Expectations\ExpectedGroup.cs,70,55,40,9,13,0,2,14,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Expectations\ExpectedMeasure.cs,22,16,12,0,6,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Expectations\ExpectedMeasureLink.cs,19,13,9,0,6,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupPenaltyHierarchyCrossing.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupPenaltyReason.cs,67,42,33,2,12,0,13,61,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupPenaltySubcomponentLength.cs,22,15,10,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReason.cs,72,42,33,2,13,0,17,53,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonAnalogySupport.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonComponentsIdentical.cs,33,24,16,2,9,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonComponentsSimilar.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonEndBeforeGap.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonEndBeforeLeap.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonEndDominant.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonEndTonalClosure.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonEndTonic.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonExpectationMeasureLink.cs,23,17,12,1,6,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonExpected.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonHierarchyEnd.cs,24,17,11,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonNumberOfSubelements.cs,21,15,10,1,6,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonSequence.cs,22,15,10,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonSlowingEnd.cs,22,17,11,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonStartAfterGap.cs,20,15,10,1,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonStartAfterLeap.cs,21,15,10,1,6,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonStrongBoundaryPosition.cs,16,12,8,0,4,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonStrongEndPosition.cs,17,12,8,0,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons\GroupReasonStrongStartPosition.cs,17,12,8,0,5,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\Accidental.cs,14,12,5,0,2,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\Alphabet.cs,519,354,237,89,80,13,85,484,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\Alteration.cs,14,11,2,0,2,0,1,2,1,2
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\Key.cs,270,197,132,45,25,8,48,484,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\KeyMode.cs,11,9,5,0,2,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\KeySignature.cs,113,70,46,13,25,0,18,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\KeyTests.cs,404,315,257,0,81,108,8,462,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\Pitch.cs,754,560,348,112,72,3,122,1064,1,2
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\PitchClass.cs,105,74,50,14,10,0,21,139,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\PitchClassTests.cs,76,57,27,0,13,0,6,14,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\PitchInterval.cs,44,25,14,2,8,0,11,69,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\PitchTests.cs,266,210,167,0,53,0,3,9,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\ScaleDegree.cs,137,97,58,14,18,1,22,187,1,2
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives\ScaleDegreeTests.cs,82,62,34,0,14,0,6,14,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\Relationship.cs,95,61,43,12,15,0,19,59,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipAnalogy.cs,55,36,25,2,13,0,6,25,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipAntecedentConsequentTonality.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipIdentical.cs,25,17,12,1,8,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipMelodyContour.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipMetricPosition.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipParameter.cs,25,17,12,1,8,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipParameterDecreasing.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipParameterIncreasing.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipSimilar.cs,25,17,12,1,8,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipStartIdentical.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipStartSimilar.cs,24,17,12,1,7,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships\RelationshipTransposition.cs,25,17,12,1,8,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\AlphabetTest.cs,151,110,99,2,35,2,6,18,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\GroupTest.cs,134,65,49,4,27,2,42,152,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\MeasureTest.cs,95,42,31,1,12,0,41,137,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\RhythmTest.cs,151,102,89,1,41,0,8,8,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\TestLarsonExpectedness.cs,82,52,43,4,11,0,19,43,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\Properties\AssemblyInfo.cs,36,15,3,0,5,0,16,118,0,0
